arrival_info,stop_number,stop_name,stop_id,latitude,longitude
3分鐘,20,成功路三段,1146000260,25.079854,121.589838
4分鐘,21,內湖高中,1147500060,25.079013,121.5883097
5分鐘,22,捷運文德站(碧湖公園),1147500260,25.078585,121.584249
7分鐘,23,湖光國宅,1147300060,25.07859,121.58078
8分鐘,24,西湖圖書館(湖光教會),1144700060,25.079106,121.5779835
10分鐘,25,捷運港墘站(內湖高工),1144400260,25.079836,121.5761086
11分鐘,26,麗山國中,1144400360,25.080638,121.5738603
12分鐘,27,麗山街,1144400460,25.081473,121.571386
13分鐘,28,恕德家商,1144400060,25.082118,121.5694613
14分鐘,29,捷運西湖站,1144400160,25.082421,121.5658681
15分鐘,30,治磐新村,1144200160,25.083069,121.5640985
16分鐘,31,文湖國小,1144600060,25.084381,121.5615357
18分鐘,32,美麗華,1046400260,25.084817,121.5581193
20分鐘,33,捷運劍南路站,1046400360,25.085271,121.5546799
22分鐘,34,自強隧道,1046400040,25.083774,121.5490281
3分鐘,37,大直高中,1046200360,25.079781,121.5436838
4分鐘,38,空軍司令部,1046200960,25.07961,121.54169
5分鐘,39,忠烈祠,1040400060,25.078002,121.5355521
6分鐘,40,中央電台,1046200460,25.078128,121.5301447
7分鐘,41,圓山大飯店,1046201660,25.077322,121.5279642
3分鐘,44,大同公司(晴光市場),1045300040,25.064381,121.5221621
5分鐘,45,台泥大樓(馬偕醫院),1044900140,25.06083,121.5227767
7分鐘,46,國賓飯店,1044800240,25.056427,121.5226289
3分鐘,48,行政院,1004100540,25.046484,121.5197596
4分鐘,49,臺北車站(忠孝),1004100760,25.04654,121.5167218
8分鐘,50,重慶南路一段,1000500040,25.045607,121.5131869
9分鐘,51,二二八和平公園,1004500060,25.042368,121.5125439
